id,dcia,tipo,cuartel,calle_ofic,inters,altura,direcc,cp,tel,objeto,longitud,latitude,geojson
1,SECCION PALERMO,DESTACAMENTO,,GUATEMALA,,5966,5966 GUATEMALA,,4772-2222,DESTACAMENTO,-58.4358,-34.5775,"{""type"":""Point"",""coordinates"":[-58.43581,-34.57753]}"
2,SECCION BEFER VELEZ SARSFIELD,DESTACAMENTO,,RODO JOSE E.,,4474,4474 RODO JOSE E.,C1407HDR,4671-2222,DESTACAMENTO,-58.4877,-34.6449,"{""type"":""Point"",""coordinates"":[-58.48765,-34.6449]}"
3,SECCION BEFER CABALLITO,DESTACAMENTO,,RIGLOS,,959,959 RIGLOS,C1424AFS,4921-2737,DESTACAMENTO,-58.4354,-34.6303,"{""type"":""Point"",""coordinates"":[-58.43541,-34.63028]}"
4,SECCION BEFER  SAAVEDRA,DESTACAMENTO,,JARAMILLO,,3551,3551 JARAMILLO,C1430AGC,4542-2222,DESTACAMENTO,-58.4792,-34.5533,"{""type"":""Point"",""coordinates"":[-58.47922,-34.55332]}"
5,DIVISION CUARTEL I CORONEL J. M. CALAZA,CUARTEL,I,BELGRANO AV,,1547,1547 BELGRANO AV,C1093AAD,4370-5857,CUARTEL,-58.3881,-34.6133,"{""type"":""Point"",""coordinates"":[-58.38815,-34.61332]}"
6,DIVISION CUARTEL II PATRICIOS,CUARTEL,II,CASEROS,,2849,2849 CASEROS,C1264AAI,4943-2222,CUARTEL,-58.403,-34.6365,"{""type"":""Point"",""coordinates"":[-58.40301,-34.63647]}"
7,SECCION NUEVA POMPEYA,DESTACAMENTO,,SAENZ,,1475,1475 SAENZ,C1437DOG,4911-4852,DESTACAMENTO,-58.417,-34.6587,"{""type"":""Point"",""coordinates"":[-58.417,-34.65874]}"
8,DIVISION CUARTEL III BARRACAS,CUARTEL,III,BRANDSEN,,1046,1046 BRANDSEN,C1161ABD,4301-2222,CUARTEL,-58.3673,-34.6373,"{""type"":""Point"",""coordinates"":[-58.36734,-34.63728]}"
9,DIVISION CUARTEL IV RECOLETA,CUARTEL,IV,LAPRIDA,,1739,1739 LAPRIDA,C1425EKO,4826-0222,CUARTEL,-58.4024,-34.59,"{""type"":""Point"",""coordinates"":[-58.40244,-34.58998]}"
10,DIVISION CUARTEL V BELGRANO,CUARTEL,,VUELTA DE OBLIGADO,,2254,2254 VUELTA DE OBLIGADO,C1428ADJ,4783-0820,CUARTEL,-58.4571,-34.5601,"{""type"":""Point"",""coordinates"":[-58.45711,-34.56011]}"
11,SECCION VILLA URQUIZA,DESTACAMENTO,,OLAZABAL,,5446,5446 OLAZABAL,C1431CGX,4521-2222,DESTACAMENTO,-58.4899,-34.579,"{""type"":""Point"",""coordinates"":[-58.48988,-34.57903]}"
12,DIVISION CUARTEL VI VILLA CRESPO,CUARTEL,VI,CORRIENTES,,5340,5340 CORRIENTES,C1414AJT,4854-2222,CUARTEL,-58.4404,-34.5987,"{""type"":""Point"",""coordinates"":[-58.44039,-34.59868]}"
13,DIVISION CUARTEL VII FLORES,CUARTEL,VII,FALCON RAMON L.CNEL.,,2255,2255 FALCON RAMON L.CNEL.,C1406GNS,4632-5806,CUARTEL,-58.4601,-34.6292,"{""type"":""Point"",""coordinates"":[-58.46011,-34.62925]}"
14,DIVISION CUARTEL VIII NUEVA CHICAGO,CUARTEL,VIII,DE LA TORRE LISANDRO,,2830,2830 DE LA TORRE LISANDRO,C1440EDQ,4687-2222,CUARTEL,-58.4957,-34.666,"{""type"":""Point"",""coordinates"":[-58.49572,-34.66597]}"
15,DIVISION CUARTEL IX VERSAILLES,CUARTEL,IX,PORCEL DE PERALTA MANUEL,,730,730 PORCEL DE PERALTA MANUEL,C1408CBJ,4641-0326,CUARTEL,-58.5241,-34.6292,"{""type"":""Point"",""coordinates"":[-58.52414,-34.62921]}"
16,SECCION VILLA DEVOTO,DESTACAMENTO,,CUBAS JOSE,,4142,4142 CUBAS JOSE,C1419GOH,4501-2222,DESTACAMENTO,-58.5155,-34.5983,"{""type"":""Point"",""coordinates"":[-58.51554,-34.59828]}"
17,SECCION LA BOCA,DESTACAMENTO,,BROWN ALTE.,PEDRO DE MENDOZA,0,BROWN ALTE. & DE MENDOZA PEDRO,,,DESTACAMENTO,-58.3574,-34.6381,"{""type"":""Point"",""coordinates"":[-58.35739,-34.63805]}"
18,DIVISION CUARTEL X LUGANO,CUARTEL,X,CAFAYATE,ANA DIAZ,0,CAFAYATE & ANA DIAZ,C1439HAV,4605-4242,CUARTEL,-58.4697,-34.6837,"{""type"":""Point"",""coordinates"":[-58.46969,-34.68371]}"
19,SECCION RETIRO,DESTACAMENTO,,TERMINAL DE OMNIBUS DE RETIRO,,0,TERMINAL DE OMNIBUS DE RETIRO,INTERIOR T,,DESTACAMENTO,-58.3754,-34.5861,"{""type"":""Point"",""coordinates"":[-58.37542,-34.58611]}"
20,SECCION MISERERE,DESTACAMENTO,,PERON JUAN DOMINGO TTE GENERAL,,2930,2930 PERON JUAN DOMINGO TTE GENERAL,,,DESTACAMENTO,-58.4084,-34.6081,"{""type"":""Point"",""coordinates"":[-58.40838,-34.60807]}"
21,DIVISION CUARTEL XI ALBARIÃ‘O,CUARTEL,XI,SANTANDER,,5955,5955 SANTANDER,,,CUARTEL,-58.4863,-34.673,"{""type"":""Point"",""coordinates"":[-58.48628,-34.67301]}"
